iter	Passed	Remaining
0	153	153025
1	155	77561
2	158	52559
3	159	39761
4	161	32056
5	162	26911
6	164	23280
7	165	20516
8	166	18356
9	168	16649
10	169	15278
11	171	14151
12	173	13143
13	174	12292
14	175	11546
15	177	10895
16	178	10314
17	179	9800
18	181	9366
19	182	8965
20	184	8608
21	186	8277
22	187	7965
23	188	7683
24	190	7427
25	191	7184
26	193	6958
27	194	6751
28	196	6567
29	197	6397
30	199	6234
31	201	6082
32	202	5934
33	203	5792
34	205	5657
35	206	5528
36	207	5406
37	209	5294
38	210	5192
39	212	5105
40	214	5015
41	216	4931
42	217	4845
43	218	4757
44	220	4675
45	221	4596
46	222	4518
47	224	4453
48	226	4392
49	227	4325
50	229	4262
51	230	4200
52	231	4138
53	232	4081
54	234	4023
55	235	3969
56	236	3918
57	238	3871
58	240	3829
59	241	3786
60	243	3744
61	244	3704
62	246	3660
63	247	3625
64	249	3584
65	250	3546
66	252	3512
67	254	3483
68	256	3458
69	257	3425
70	259	3393
71	260	3359
72	261	3326
73	263	3293
74	264	3262
75	265	3231
76	268	3213
77	270	3191
78	271	3166
79	272	3139
80	274	3111
81	275	3087
82	276	3054
83	277	3029
84	279	3004
85	280	2980
86	281	2958
87	283	2941
88	285	2922
89	286	2899
90	287	2876
91	289	2855
92	290	2834
93	291	2812
94	293	2792
95	294	2774
96	296	2760
97	298	2748
98	300	2730
99	301	2714
100	302	2696
101	304	2681
102	305	2664
103	307	2646
104	308	2629
105	309	2612
106	311	2599
107	313	2585
108	314	2570
109	315	2554
110	317	2538
111	318	2523
112	319	2507
113	320	2492
114	322	2478
115	323	2463
116	324	2448
117	326	2437
118	327	2424
119	329	2413
120	330	2399
121	331	2384
122	332	2372
123	334	2359
124	335	2347
125	336	2335
126	337	2321
127	339	2310
128	341	2305
129	342	2295
130	344	2285
131	345	2275
132	347	2265
133	348	2253
134	350	2242
135	351	2232
136	353	2227
137	355	2218
138	357	2211
139	358	2202
140	359	2192
141	360	2180
142	362	2170
143	363	2162
144	365	2152
145	366	2143
146	368	2136
147	369	2128
148	371	2120
149	373	2115
150	374	2107
151	376	2099
152	378	2093
153	379	2087
154	382	2082
155	383	2075
156	385	2069
157	387	2063
158	389	2058
159	390	2052
160	392	2043
161	395	2044
162	397	2038
163	400	2043
164	404	2048
165	406	2042
166	407	2034
167	409	2028
168	411	2021
169	412	2014
170	415	2012
171	417	2008
172	418	2002
173	420	1995
174	421	1989
175	423	1983
176	425	1977
177	427	1972
178	429	1970
179	432	1968
180	434	1964
181	435	1957
182	437	1952
183	438	1945
184	440	1939
185	442	1934
186	443	1929
187	445	1925
188	447	1919
189	449	1916
190	451	1910
191	454	1910
192	455	1905
193	457	1900
194	461	1903
195	463	1899
196	464	1894
197	467	1892
198	469	1889
199	471	1884
200	476	1893
201	478	1889
202	481	1890
203	483	1885
204	484	1880
205	486	1874
206	489	1874
207	491	1873
208	494	1872
209	496	1867
210	499	1868
211	502	1869
212	505	1866
213	506	1861
214	508	1857
215	510	1852
216	512	1850
217	515	1847
218	518	1850
219	522	1852
220	524	1849
221	526	1845
222	528	1842
223	530	1839
224	534	1840
225	536	1837
226	538	1832
227	539	1827
228	541	1822
229	542	1817
230	544	1813
231	548	1815
232	550	1812
233	552	1807
234	553	1802
235	555	1797
236	556	1792
237	558	1788
238	561	1786
239	563	1783
240	565	1780
241	567	1776
242	570	1776
243	572	1772
244	574	1770
245	576	1768
246	581	1772
247	583	1768
248	584	1763
249	586	1759
250	589	1758
251	595	1766
252	598	1767
253	600	1763
254	602	1760
255	604	1757
256	607	1756
257	612	1761
258	616	1763
259	618	1759
260	620	1755
261	624	1758
262	629	1763
263	630	1758
264	632	1754
265	634	1750
266	636	1748
267	638	1744
268	640	1741
269	642	1737
270	645	1735
271	646	1731
272	649	1730
273	651	1726
274	653	1722
275	655	1720
276	658	1718
277	660	1714
278	662	1711
279	663	1706
280	665	1702
281	669	1704
282	671	1700
283	672	1696
284	675	1694
285	677	1691
286	679	1687
287	681	1683
288	684	1684
289	687	1683
290	689	1679
291	691	1676
292	693	1672
293	694	1668
294	696	1665
295	698	1662
296	700	1659
297	704	1659
298	706	1656
299	707	1651
300	709	1648
301	712	1646
302	714	1644
303	717	1641
304	718	1637
305	720	1633
306	722	1629
307	723	1625
308	725	1623
309	727	1620
310	730	1618
311	731	1613
312	733	1610
313	735	1606
314	736	1602
315	738	1598
316	740	1596
317	742	1592
318	744	1589
319	746	1585
320	747	1581
321	749	1577
322	751	1574
323	752	1570
324	754	1567
325	756	1564
326	759	1562
327	760	1558
328	762	1554
329	763	1551
330	765	1547
331	767	1543
332	768	1539
333	770	1537
334	772	1533
335	774	1529
336	775	1526
337	777	1521
338	778	1518
339	779	1514
340	781	1510
341	782	1506
342	784	1503
343	786	1500
344	789	1498
345	790	1494
346	792	1491
347	794	1487
348	795	1484
349	797	1480
350	799	1478
351	801	1475
352	803	1472
353	804	1468
354	806	1464
355	807	1461
356	809	1457
357	811	1454
358	813	1453
359	815	1450
360	817	1446
361	818	1443
362	820	1439
363	822	1436
364	823	1433
365	825	1429
366	827	1426
367	829	1423
368	831	1421
369	832	1418
370	834	1414
371	836	1411
372	837	1408
373	839	1405
374	841	1402
375	843	1399
376	845	1396
377	846	1393
378	848	1390
379	850	1387
380	855	1390
381	857	1387
382	859	1385
383	863	1385
384	867	1386
385	869	1383
386	871	1380
387	874	1379
388	878	1380
389	880	1376
390	882	1373
391	883	1370
392	886	1368
393	888	1367
394	893	1368
395	894	1364
396	896	1361
